#CNS-FILE
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# common/event_modifiers/CNS_guardian_modifiers.txt
cns_hafiz;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_bible;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_torah;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_generic;[From.GetGuardianTrait];;;;;;;;;;;;;x
# common/game_rules/DRD_game_rules.txt
RULE_GROUP_CNS;Church and State;Église et État;;;;;;;;;;;;x
RULE_OPTION_BOTH;Both;Les deux;;;;;;;;;;;;x
RULE_OPTION_DOCTRINE;Doctrine;Doctrine;;;;;;;;;;;;x
RULE_OPTION_IMPERIAL;Imperial Only;Impérial uniquement;;;;;;;;;;;;x
RULE_OPTION_STATIC;Static;Statique;;;;;;;;;;;;x
RULE_CNS_CLERGYLESS;§ZChurch and State:§! Clergyless Governments;§ZÉglise et État :§! Gouvernements sans clergé;;;;;;;;;;;;x
RULE_CNS_CLERGYLESS_BOTH;The Pious Feudal and Secular Feudal government types are used by religions with the Non-Clerical doctrine, as well as a static list of unreformed religions (unless they already use random features).;Les types de gouvernement Féodalité pieuse et Féodalité laïque sont utilisés par les religions utilisant la doctrine Non-clérical, et par une liste statique de religions non-réformées (sauf caractéristiques aléatoires).;;;;;;;;;;;;x
RULE_CNS_CLERGYLESS_DOCTRINE;The Pious Feudal and Secular Feudal government types are used by religions with the Non-Clerical doctrine.;Les types de gouvernement Féodalité pieuse et Féodalité laïque sont utilisés par les religions utilisant la doctrine Non-clérical.;;;;;;;;;;;;x
RULE_CNS_CLERGYLESS_STATIC;The Pious Feudal government type is restricted to the following religions, and only if they do not already have access to random features: Lollard, Waldensian, Paulician, Jewish, Karaite.;Le type de gouvernement Féodalité pieuse est restreint aux religions suivantes, et uniquement si elles n'ont pas déjà accès à des caractéristiques alétoires: lollarde, vaudoise, paulicienne, juive, karaïte.;;;;;;;;;;;;x
RULE_CNS_CLERGYLESS_OFF;The Pious Feudal and Secular Feudal government types are disabled.;Les types de gouvernement Féodalité pieuse et Féodalité laïque sont désactivés.;;;;;;;;;;;;x
RULE_CNS_PLURALIST;§ZChurch and State:§! Pluralist Governments;§ZÉglise et État :§! Gouvernements pluralistes;;;;;;;;;;;;x
RULE_CNS_PLURALIST_ON;Cosmopolitan religions give access to Pluralist government types: Feudal for temporal religious heads, and Imperial by decision.;Les religions cosmopolitaines donnent accès aux types de gouvernement pluralistes: Féodalité pour les chefs religieux temporels, et Impérial via une décision.;;;;;;;;;;;;x
RULE_CNS_PLURALIST_IMPERIAL;Cosmopolitan religions give access to the Pluralist Imperial government type by decision.;Les religions cosmopolitaines donnent accès au type de gouvernement Impérial pluraliste via une décision.;;;;;;;;;;;;x
RULE_CNS_PLURALIST_OFF;The Pluralist Feudal and Pluralist Imperial government types are disabled.;Les types de gouvernement Féodalité pluraliste et Impérial pluraliste sont désactivés.;;;;;;;;;;;;x
RULE_CNS_GUARDIAN;§ZChurch and State:§! Guardians of Scripture;§ZÉglise et État :§! Gardiens des Écritures;;;;;;;;;;;;x
RULE_CNS_GUARDIAN_ON;The Hafiz trait has stronger effects. A variant of it is also available to other clergyless religions, including Muslim-based random religions.;Les effets du trait Hafiz sont plus marqués. Une variante est également disponible pour les religions sans clergé, y compris les religions aléatoires basées sur l'Islam.;;;;;;;;;;;;x
RULE_CNS_GUARDIAN_OFF;The Hafiz trait is unchanged. Muslim-based random religions do not allow characters to obtain it.;Les effets du trait Hafiz sont inchangés. Les religions aléatoires basées sur l'Islam ne permettent pas de l'obtenir.;;;;;;;;;;;;x
RULE_CNS_GUARDIAN_UNRESTRICTED;The Hafiz trait has stronger effects. A variant of it is also available to every non-Pagan or reformed religion.;Les effets du trait Hafiz sont plus marqués. Une variante est également disponible pour toutes les religions non-païennes ou réformées.;;;;;;;;;;;;x
# common/governments/CNS_feudal_governments.txt
clergyless_feudal_government;Pious Feudal;Féodalité pieuse;;;;;;;;;;;;x
clergyless_feudal_government_desc;The Pious Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal, with an additional emphasis on the spiritual responsibilities of the rulers over their subjects. It is available to Non-Clerical religions and allows holding Temples in addition to Castles. It effectively replaces Theocracies for these religions, except for the religious head and their vassals if they exist.;Le gouvernement féodal pieux, tout comme le gouvernement féodal ordinaire, repose sur un serment entre le seigneur lige et le vassal, avec un accent mis sur les réponsabilités spirituelles des dirigeants envers leurs sujets. Il est spécifique aux religions non-cléricales et permet de détenir des temples en plus des châteaux. Il remplace en pratique les théocraties pour ces religions, hormis pour le chef religieux et ses vassaux s'il existe.;;;;;;;;;;;;x
clergyless_temple_government;Pious Feudal;Féodalité pieuse;;;;;;;;;;;;x
clergyless_temple_government_desc;The Pious Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal, with an additional emphasis on the spiritual responsibilities of the rulers over their subjects. It is available to Non-Clerical religions and allows holding Temples in addition to Castles. It effectively replaces Theocracies for these religions, except for the religious head and their vassals if they exist.;Le gouvernement féodal pieux, tout comme le gouvernement féodal ordinaire, repose sur un serment entre le seigneur lige et le vassal, avec un accent mis sur les réponsabilités spirituelles des dirigeants envers leurs sujets. Il est spécifique aux religions non-cléricales et permet de détenir des temples en plus des châteaux. Il remplace en pratique les théocraties pour ces religions, hormis pour le chef religieux et ses vassaux s'il existe.;;;;;;;;;;;;x
secular_feudal_government;Secular Feudal;Féodalité laïque;;;;;;;;;;;;x
secular_feudal_government_desc;The Secular Feudal government, much like the ordinary Feudal government, revolves around an oath of loyalty between liege and vassal which also promotes religious tolerance by leaving their respective faiths as a private matter. It is available to Cosmopolitan, Non-Clerical religions and allows holding Temples in addition to Castles. It effectively replaces Theocracies for these religions, except for the religious head and their vassals if they exist.;Le gouvernement féodal laïque, tout comme le gouvernement féodal ordinaire, repose sur un serment de loyauté entre le seigneur lige et le vassal, qui encourage par ailleurs la tolérance religieuse en faisant de leurs fois respectives une matière privée. Il est spécifique aux religions cosmopolitaines et non-cléricales, et permet de détenir des temples en plus des châteaux. Il remplace en pratique les théocraties pour ces religions, hormis pour le chef religieux et ses vassaux s'il existe.;;;;;;;;;;;;x
pluralist_feudal_government;Pluralist Feudal;Féodalité pluraliste;;;;;;;;;;;;x
pluralist_feudal_government_desc;The Pluralist Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal. The ruler, seen as a blessed figure within his own faith, must protect all religions as his most sacred duty. It is available to the temporal heads of Cosmopolitan religions, as well as any king crowned by them or a powerful theocratic head.;Le gouvernement féodal pluraliste, tout comme le gouvernement féodal ordinaire, repose sur un serment entre le seigneur lige et le vassal. Le souverain, perçu comme céleste au sein de sa propre foi, a pour devoir sacré de protéger toutes les religions. Il est spécifique aux chefs temporels des religions Cosmopolitaine, ainsi qu'aux rois couronné par un tel personnage ou par un puissant chef théocratique.;;;;;;;;;;;;x
pluralist_imperial_government;Pluralist Imperial;Impérial pluraliste;;;;;;;;;;;;x
pluralist_imperial_government_desc;An Imperial government differs from its feudal counterpart by placing a larger focus on urban areas. As protector of all religions, the divine Emperor must display a non-sectarian piety in order to command the loyalty of his subjects and vassals throughout his vast realm.;Un gouvernement impérial diffère de son homologue féodal en se concentrant davantage sur les zones urbaines. Protecteur de toutes les religions, le divin Empereur doit afficher une piété non-sectaire afin de commander la loyauté de ses sujets et vassaux à travers son immense royaume.;;;;;;;;;;;;x
secular_feudal_government_desc;Secular Feudal;Féodalité laïque;;;;;;;;;;;;x
clergylesstemple_baron;Father;Père;Vater;;Padre;Padre;;;;;;;;x
clergylesstemple_baron_female;Mother;Mère;Mutter;;Madre;Madre;;;;;;;;x
clergylesstemple_baron_christian;Pastor;Pasteur;;;;;;;;;;;;x
clergylesstemple_baron_female_christian;Pastoress;Pastoresse;;;;;;;;;;;;x
clergylesstemple_baron_jewish_group;Hakham;;;;;;;;;;;;;x
clergylesstemple_baron_female_jewish_group;Hakhama;;;;;;;;;;;;;x
clergylesstemple_baron_jewish;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
clergylesstemple_baron_female_jewish;Rabbanit;Rabbine;;;;;;;;;;;;x
# common/minor_titles/CNS_minor_titles.txt
title_councilmember_clergyless;[Non-Clerical];;;;;;;;;;;;;x
title_councilmember_clergyless_desc;[GetCouncilmemberClergylessDesc];;;;;;;;;;;;;x
custom_reformed_nothing;;;;;;;;;;;;;;x
# common/opinion_modifiers/CNS_opinion_modifiers.txt
cns_wrong_government;Wrong Government Type;Mauvais type de gouvernement;Falsche Regierungsform;;Tipo de gobierno erróneo;;;;;;;;;x
# common/religion_features/CNS_features.txt
religion_clergyless;Non-Clerical;Non-clérical;;;;;;;;;;;;x
religion_clergyless_desc;It is everyone's duty and privilege to reach out to the Divine and fulfill its will. There is no need for a priestly class.;Tendre vers le Divin et accomplir Sa volonté est un devoir et un privilège pour tous, et non juste une élite de prêtres.;;;;;;;;;;;;x
tooltip_religion_feature_clergyless_feudal_government;§GFeudal lords can hold Temples.§!;§GLes seigneurs féodaux peuvent détenir des temples.§!;;;;;;;;;;;;x
tooltip_religion_feature_no_theocracy;§YThis religion will never produce Theocracies.§!;§YCette religion ne produira jamais de théocraties.§!;;;;;;;;;;;;x
tooltip_religion_feature_no_theocracy_except_theocratic_head;§YThis religion will produce no Theocracies, except for Hierocratic heads and their vassals.§!;§YCette religion ne produira pas de théocraties autres qu'un chef Hiérocratique et ses vassaux.§!;;;;;;;;;;;;x
tooltip_religion_feature_head_is_destroyed;§YThe religious head title is disabled.§!;§YLe titre de chef religieux est désactivé.§!;;;;;;;;;;;;x
# decisions/CNS_employment_decisions.txt
cns_employ_delegate;Recruit Religious Delegate;Embaucher un représentant religieux;;;;;;;;;;;;x
cns_employ_delegate_desc;Send out messengers in order to find a candidate for the position of §YDelegate§! among the non-[This.Religion.GetName] population.;Envoyer des messagers afin de trouver un candidat pour le poste de §Yreprésentant§! parmi la population non-[This.Religion.GetName].;;;;;;;;;;;x
cns_employ_delegate_tooltip;Send out messengers in order to find a candidate for the position of §YDelegate§! among the non-[This.Religion.GetName] population.;Envoyer des messagers afin de trouver un candidat pour le poste de §Yreprésentant§! parmi la population non-[This.Religion.GetName].;;;;;;;;;;;x
cns_recruit_temple_holder_as_spiritual;Recruit [From.GetLordSpiritualName];Désigner [From.GetLordSpiritualName];;;;;;;;;;;;x
cns_recruit_temple_holder_as_spiritual_desc;Recruit [Root.GetTitledName] as your new [From.GetLordSpiritualName].;Recruter [Root.GetTitledName] au poste de [From.GetLordSpiritualName].;;;;;;;;;;;;x
cns_recruit_temple_holder_as_spiritual_cooldown;Has not recruited a temple holder in the past 10 years.;N'a pas utilisé cette action dans les 10 dernières années.;;;;;;;;;;;;x
# decisions/CNS_employment_decisions.txt
cns_adopt_pluralist_imperialism;Adopt Pluralist Imperialism;Adopter l'impérialisme pluraliste;;;;;;;;;;;;x
cns_adopt_pluralist_imperialism_desc;Reform your realm into an empire founded on religious tolerance.;Réformer votre royaume en un empire fondé sur la tolérance religieuse.;;;;;;;;;;;;x
calc_true_if_2;At least TWO of the following must be true;;;;;;;;;;;;x
cns_adopt_pluralist_imperialism_historically_pluralist;The [Root.PrimaryTitle.GetFullName] has been pluralist in the past.;Le pluralisme fait partie de l'histoire [Root.PrimaryTitle.Get_du_RealmFull];;;;;;;;;;;;x
cns_adopt_pluralist_imperialism_is_reformer;Reformed the [Root.Religion.GetName] religion;A réformé la religion [Root.Religion.GetName];;;;;;;;;;;;x
cns_adopt_pluralist_imperialism_religious_diversity;Not following the [Root.Religion.GetName] religion or one of its heresies:\n * At least §Y20%§! of all characters in the realm\n * §Y2 of the 10§! most powerful vassals;Au moins §Y20%§! de tous les personnages du royaume et §Y2 des 10§! plus puissants vassaux ne pratiquent pas la religion [Root.Reliigion.GetName] ou une de ses hérésies.;;;;;;;;;;;;x
# events/CNS_advisor_events.txt
EVTDESCCNS300;The [invited_character.Religion.GetName] representative, [invited_character.GetFullName], has arrived at your court and is ready for employment.;Un[invited_character.Get_E] représentant[invited_character.Get_E] de la communauté [invited_character.Religion.GetName], [invited_character.GetFullName], est à présent à votre Cour et prêt[invited_character.Get_E] à travailler.;;;;;;;;;;;;x
# events/CNS_guardian_events.txt
EVTDESCCNS200;As I listened to the preacher respond to his congregation by faithfully reciting a passage from [This.Religion.GetScriptureName], I marveled at the piety of the man. To hold such a large portion of the holy scriptures in his memory is a feat only a true [This.Religion.GetName] believer could perform.;Tout en écoutant le prédicateur réciter sans fautes un extrait [This.Get_du_Scripture] en réponse aux questions de sa congrégation, je m'émerveillais de sa piété : Seuls les plus zélés disciples de la foi [This.Religion.GetName] sont capables de mémoriser une telle portion des textes sacrés.;;;;;;;;;;;;x
EVTOPTACNS200;May [Root.Religion.GetHighGodName] be my witness, I will memorize [This.Religion.GetScriptureName]!;[Root.Religion.GetHighGodName] m'en soit témoin : je graverai [This.Get_le_Scripture] dans ma mémoire !;;;;;;;;;;;;x
EVTOPTBCNS200;Marvelous! But it must be such a chore...;Merveilleux ! Mais quelle corvée...;Fantastisch! Aber das muss eine Heidenarbeit sein...;;¡Maravilloso! Pero debe ser tan tedioso...;;;;;;;;;x
aspiring_hafiz;Aspiring [This.GetGuardianTrait]; Apprenti[This.Get_E] [This.GetGuardianTrait];;;;;;;;;;;;x
aspiring_hafiz_desc;Committing [This.Religion.GetScriptureName] to memory.;Engagé[This.Get_E] dans l'apprentissage [This.Get_du_Scripture].;;;;;;;;;;;;x
EVTDESCCNS203;My mind is filled with the wisdom of [This.Religion.GetScriptureName]. Every divine commandment is now within reach of my memory, always by my side, ready to guide me on any matter of faith.;Mon esprit est empli de la sagesse [This.Get_du_Scripture]. Chacun de ses commandements divins est désormais à portée de mémoire, toujours à mes côtés, prêt à me guider sur toute question de foi.;;;;;;;;;;;;x
EVTOPTACNS203;I will remember these words until my death.;Je me souviendrai de ces mots jusqu'à ma mort.;;;;;;;;;;;;x
# events/CNS_maintenance_events.txt
